shipment_id,date,source_node,destination_node,path,path_length,total_distance_km,planned_transit_days,actual_transit_days,delay_days,delayed,volume,value_usd,priority_level,product_category,fragility,temp_sensitive,customs_complexity_product,num_sea_legs,num_border_crossings,path_reliability,total_customs_complexity,total_handling_complexity,path_betweenness,path_pagerank,max_node_risk,weather_severity,port_congestion,supplier_reliability,supplier_quality,supplier_infra,demand_surge,is_peak_season,is_holiday,upstream_risk,month,day_of_week,quarter,week_of_year
SHP_00033,2022-07-16,SUP_015,CUS_093,SUP_015->PRT_054->PRT_042->PRT_043->PRT_045->WH_056->CUS_093,7,21723.95,40,46,6,1,1714,245260.49,1,Chemicals,0.5,0.6,0.8,3,4,0.5117,2.129,2.477,0.022857,0.014951,0.2867,0.385,0.437,0.713,0.718,0.659,0.259,0,0,0.293,7,5,3,28
SHP_00034,2023-04-05,SUP_033,CUS_105,SUP_033->PRT_044->PRT_047->WH_060->CUS_105,5,1621.23,8,8,0,0,1655,167657.87,2,Textiles,0.2,0.1,0.3,1,1,0.7757,1.553,1.68,0.014182,0.018038,0.136,0.294,0.452,0.864,0.821,0.855,0.447,0,0,0.324,4,2,2,14
SHP_00035,2022-07-07,SUP_025,CUS_119,SUP_025->PRT_054->PRT_042->PRT_043->PRT_045->WH_069->CUS_119,7,19599.62,34,39,5,1,1651,179141.45,1,Food,0.6,0.9,0.7,3,3,0.5448,2.385,3.094,0.022857,0.01509,0.201,0.487,0.437,0.99,0.702,0.726,0.434,0,0,0.238,7,3,3,27
SHP_00036,2022-09-13,SUP_028,CUS_087,SUP_028->PRT_042->PRT_043->PRT_045->WH_057->CUS_087,6,17384.49,28,33,5,1,2933,228173.12,1,Machinery,0.4,0.1,0.5,2,2,0.6394,1.584,1.998,0.024498,0.013918,0.2824,0.63,0.745,0.718,0.799,0.789,0.702,0,0,0.01,9,1,3,37
SHP_00037,2024-04-07,SUP_027,CUS_081,SUP_027->PRT_054->PRT_042->PRT_043->PRT_045->WH_057->CUS_081,7,18485.9,33,33,0,0,1709,452144.4,2,Machinery,0.4,0.1,0.5,3,3,0.5481,2.415,2.696,0.022413,0.015027,0.201,0.393,0.437,0.821,0.893,0.602,0.468,0,0,0.131,4,6,2,14
SHP_00038,2023-10-30,SUP_002,CUS_125,SUP_002->PRT_040->PRT_042->PRT_049->WH_073->CUS_125,6,16473.09,27,35,8,1,995,400662.59,1,Electronics,0.7,0.3,0.6,2,2,0.6129,2.005,1.853,0.012871,0.016088,0.2697,0.425,0.612,0.748,0.771,0.932,0.84,1,0,0.233,10,0,4,44
SHP_00039,2024-02-11,SUP_005,CUS_096,SUP_005->PRT_040->PRT_045->PRT_046->WH_069->CUS_096,6,13968.3,28,30,2,1,512,115807.99,3,Chemicals,0.5,0.6,0.8,2,2,0.7881,1.865,2.012,0.024429,0.013068,0.2419,0.739,0.522,0.799,0.759,0.827,0.479,0,1,0.145,2,6,1,6
SHP_00040,2023-02-21,SUP_009,CUS_108,SUP_009->PRT_054->PRT_042->PRT_049->PRT_044->WH_060->CUS_108,7,13725.96,25,32,7,1,1142,68579.97,1,Raw Materials,0.1,0.05,0.2,3,3,0.5794,2.487,2.367,0.016626,0.018699,0.2932,1.0,0.588,0.707,0.94,0.66,0.493,0,0,0.051,2,1,1,8
SHP_00041,2022-08-07,SUP_029,CUS_091,SUP_029->PRT_042->PRT_043->PRT_045->PRT_046->WH_069->CUS_091,7,17292.93,32,39,7,1,2451,214414.6,1,Pharmaceuticals,0.8,0.85,0.9,3,3,0.495,2.357,2.711,0.025309,0.015235,0.1928,0.639,0.437,0.937,0.785,0.724,0.543,0,0,0.229,8,6,3,31
SHP_00042,2022-06-18,SUP_003,CUS_097,SUP_003->PRT_040->PRT_045->PRT_046->WH_057->CUS_097,6,14475.67,30,30,0,0,75,34134.73,3,Pharmaceuticals,0.8,0.85,0.9,2,2,0.8111,1.952,1.969,0.023911,0.013075,0.2419,0.22,0.401,0.909,0.817,0.828,0.377,0,0,0.013,6,5,2,24
SHP_00043,2023-02-04,SUP_000,CUS_085,SUP_000->PRT_040->PRT_046->WH_069->CUS_085,5,13982.24,23,29,6,1,487,83430.53,2,Food,0.6,0.9,0.7,1,1,0.797,1.618,1.743,0.016267,0.010271,0.3134,0.62,0.834,0.687,0.832,0.754,0.317,0,1,0.287,2,5,1,5
SHP_00044,2022-10-20,SUP_027,CUS_116,SUP_027->PRT_041->PRT_045->PRT_046->WH_067->CUS_116,6,16389.06,33,38,5,1,1408,78159.74,3,Pharmaceuticals,0.8,0.85,0.9,2,3,0.5418,1.683,2.186,0.021276,0.013554,0.1928,0.465,0.658,0.821,0.893,0.602,0.687,1,0,0.127,10,3,4,42
SHP_00045,2023-11-09,SUP_035,CUS_119,SUP_035->PRT_046->WH_069->CUS_119,4,5511.13,9,9,0,0,2973,86481.01,1,Raw Materials,0.1,0.05,0.2,0,0,0.8216,0.875,0.88,0.010987,0.008274,0.1928,0.377,0.562,0.962,0.753,0.946,1.059,1,0,0.066,11,3,4,45
SHP_00046,2022-07-14,SUP_008,CUS_127,SUP_008->PRT_054->PRT_042->PRT_043->PRT_045->WH_066->CUS_127,7,25674.85,45,50,5,1,1354,11736.26,2,Food,0.6,0.9,0.7,3,3,0.4884,2.382,2.631,0.021017,0.015899,0.2108,0.711,0.568,0.789,0.763,0.697,0.456,0,0,0.084,7,3,3,28
SHP_00047,2022-03-01,SUP_012,CUS_111,SUP_012->PRT_054->PRT_042->PRT_043->WH_063->CUS_111,6,9654.81,20,25,5,1,2851,1068786.81,2,Electronics,0.7,0.3,0.6,2,4,0.5955,1.659,2.225,0.014306,0.013979,0.201,0.683,0.565,0.97,0.807,0.639,0.287,0,0,0.22,3,1,1,9
SHP_00048,2022-02-28,SUP_019,CUS_091,SUP_019->PRT_043->PRT_045->PRT_046->WH_069->CUS_091,6,12338.56,25,30,5,1,538,13041.93,2,Electronics,0.7,0.3,0.6,2,4,0.5537,2.145,2.104,0.023678,0.013687,0.1928,0.543,0.522,0.828,0.759,0.815,0.526,0,0,0.175,2,0,1,9
SHP_00049,2023-05-04,SUP_038,CUS_103,SUP_038->PRT_047->WH_061->CUS_103,4,1525.88,3,3,0,0,1529,129104.43,2,Textiles,0.2,0.1,0.3,0,0,0.8352,0.534,1.116,0.004714,0.011224,0.3024,0.383,0.234,0.698,0.773,0.843,0.497,0,0,0.007,5,3,2,18
SHP_00050,2023-06-05,SUP_003,CUS_092,SUP_003->PRT_040->PRT_045->PRT_046->WH_057->CUS_092,6,14274.43,30,30,0,0,619,86315.57,2,Machinery,0.4,0.1,0.5,2,2,0.8001,1.998,1.769,0.023911,0.014052,0.2419,0.387,0.401,0.909,0.817,0.828,0.404,0,0,0.242,6,0,2,23
SHP_00051,2022-03-12,SUP_010,CUS_119,SUP_010->PRT_054->PRT_042->PRT_043->PRT_046->WH_067->CUS_119,7,19454.49,34,37,3,1,1372,60880.03,3,Machinery,0.4,0.1,0.5,3,3,0.6527,1.89,2.652,0.015819,0.01371,0.201,0.245,0.437,0.968,0.657,0.648,0.349,0,0,0.081,3,5,1,10
SHP_00052,2023-02-18,SUP_014,CUS_098,SUP_014->PRT_053->PRT_044->PRT_047->WH_061->CUS_098,6,8973.11,19,24,5,1,2344,97549.46,3,Machinery,0.4,0.1,0.5,2,2,0.724,1.999,1.791,0.012361,0.017259,0.1682,0.699,0.588,0.841,0.678,0.573,0.53,0,1,0.24,2,5,1,7
SHP_00053,2022-09-10,SUP_036,CUS_117,SUP_036->PRT_046->WH_069->CUS_117,4,5228.97,9,9,0,0,345,29559.92,2,Electronics,0.7,0.3,0.6,0,0,0.7363,0.786,0.948,0.010987,0.008396,0.1928,0.456,0.66,0.861,0.991,0.931,0.764,0,0,0.186,9,5,3,36
SHP_00054,2023-03-06,SUP_004,CUS_113,SUP_004->PRT_040->PRT_052->WH_075->CUS_113,5,12267.12,24,24,0,0,1295,272259.0,3,Automotive,0.3,0.1,0.5,1,1,0.7254,1.403,1.743,0.009246,0.009232,0.2812,0.6,0.317,0.719,0.749,0.896,0.451,0,0,0.042,3,0,1,10
SHP_00055,2022-07-29,SUP_016,CUS_084,SUP_016->PRT_050->PRT_045->PRT_046->WH_056->CUS_084,6,16174.53,31,31,0,0,1431,56225.71,2,Automotive,0.3,0.1,0.5,2,2,0.7296,1.864,2.361,0.022543,0.013895,0.1928,0.187,0.401,0.99,0.84,0.943,0.41,0,0,0.147,7,4,3,30
SHP_00056,2022-09-29,SUP_014,CUS_108,SUP_014->PRT_053->PRT_044->PRT_047->WH_060->CUS_108,6,8981.62,19,21,2,1,1080,499756.8,1,Pharmaceuticals,0.8,0.85,0.9,2,2,0.6485,2.155,2.019,0.012609,0.016743,0.1682,0.518,0.452,0.841,0.678,0.573,0.695,0,0,0.176,9,3,3,39
SHP_00057,2023-11-19,SUP_007,CUS_103,SUP_007->PRT_040->PRT_042->PRT_044->PRT_047->WH_061->CUS_103,7,17356.91,33,39,6,1,1587,288116.85,2,Food,0.6,0.9,0.7,3,3,0.7088,2.416,2.582,0.020273,0.019205,0.2419,0.387,1.0,0.836,0.861,0.911,1.133,1,0,0.053,11,6,4,46
SHP_00058,2022-11-20,SUP_027,CUS_122,SUP_027->PRT_054->PRT_042->PRT_049->PRT_044->WH_062->CUS_122,7,13404.19,25,29,4,1,2838,899239.9,3,Machinery,0.4,0.1,0.5,3,3,0.5478,2.901,2.649,0.015779,0.018743,0.2697,0.488,1.0,0.821,0.893,0.602,1.045,1,0,0.287,11,6,4,46
SHP_00059,2023-04-15,SUP_000,CUS_105,SUP_000->PRT_040->PRT_044->WH_060->CUS_105,5,10838.11,19,24,5,1,547,147808.49,2,Machinery,0.4,0.1,0.5,1,1,0.7847,1.226,1.252,0.021054,0.01837,0.3134,0.753,0.657,0.687,0.832,0.754,0.351,0,0,0.06,4,5,2,15
SHP_00060,2023-07-05,SUP_004,CUS_089,SUP_004->PRT_040->PRT_045->PRT_046->WH_059->CUS_089,6,16248.3,33,38,5,1,2144,195898.31,2,Chemicals,0.5,0.6,0.8,2,2,0.6686,1.864,2.004,0.02243,0.013249,0.2812,0.144,0.401,0.719,0.749,0.896,0.362,0,0,0.135,7,2,3,27
SHP_00061,2022-09-29,SUP_030,CUS_116,SUP_030->PRT_042->PRT_043->PRT_045->WH_067->CUS_116,6,18611.14,31,35,4,1,1610,231671.92,1,Textiles,0.2,0.1,0.3,2,2,0.4973,1.504,2.355,0.023165,0.014073,0.1817,0.991,0.437,0.825,0.682,0.718,0.556,0,0,0.016,9,3,3,39
SHP_00062,2024-06-21,SUP_021,CUS_092,SUP_021->PRT_043->PRT_045->PRT_046->WH_068->CUS_092,6,11574.65,24,30,6,1,831,51975.74,2,Machinery,0.4,0.1,0.5,2,3,0.5642,1.786,2.082,0.021014,0.013694,0.324,0.236,0.821,0.676,0.767,0.882,0.407,0,0,0.3,6,4,2,25
SHP_00063,2023-01-14,SUP_015,CUS_080,SUP_015->PRT_054->PRT_042->PRT_043->PRT_046->WH_056->CUS_080,7,21392.21,40,47,7,1,1969,349999.8,3,Food,0.6,0.9,0.7,3,4,0.5743,1.859,2.31,0.017405,0.013511,0.2867,0.957,0.437,0.713,0.718,0.659,0.299,0,0,0.01,1,5,1,2
SHP_00064,2023-03-25,SUP_009,CUS_085,SUP_009->PRT_054->PRT_042->PRT_043->PRT_046->WH_069->CUS_085,7,18390.95,32,38,6,1,1393,206987.43,3,Food,0.6,0.9,0.7,3,3,0.5922,2.157,2.439,0.017405,0.013501,0.2932,0.568,0.437,0.707,0.94,0.66,0.488,0,0,0.242,3,5,1,12
SHP_00065,2022-01-09,SUP_032,CUS_100,SUP_032->PRT_047->WH_060->CUS_100,4,1625.8,3,3,0,0,140,16847.72,1,Food,0.6,0.9,0.7,0,0,0.7631,0.541,0.813,0.005085,0.011572,0.1716,0.423,0.234,0.828,0.898,0.905,0.527,0,0,0.311,1,6,1,1
SHP_00066,2024-06-18,SUP_005,CUS_126,SUP_005->PRT_040->WH_070->CUS_126,4,3641.82,7,7,0,0,1869,250636.79,3,Textiles,0.2,0.1,0.3,0,0,0.9034,0.708,0.898,0.011169,0.011178,0.2419,0.617,0.302,0.799,0.759,0.827,0.485,0,0,0.056,6,1,2,25
SHP_00067,2022-04-29,SUP_016,CUS_094,SUP_016->PRT_050->PRT_045->PRT_046->WH_056->CUS_094,6,15952.82,31,38,7,1,2247,622903.62,1,Machinery,0.4,0.1,0.5,2,2,0.6483,1.908,2.292,0.022543,0.013736,0.1928,0.414,0.627,0.99,0.84,0.943,0.338,0,0,0.225,4,4,2,17
SHP_00068,2022-06-09,SUP_035,CUS_104,SUP_035->PRT_044->PRT_047->WH_062->CUS_104,5,10917.23,29,29,0,0,1668,54963.2,1,Food,0.6,0.9,0.7,1,3,0.6487,1.35,1.265,0.012995,0.018657,0.0631,0.157,0.892,0.962,0.753,0.946,0.458,0,0,0.116,6,3,2,23
SHP_00069,2023-09-12,SUP_017,CUS_097,SUP_017->PRT_050->PRT_045->WH_057->CUS_097,5,14882.82,25,25,0,0,457,5600.73,3,Chemicals,0.5,0.6,0.8,1,1,0.8255,1.329,1.768,0.021015,0.013195,0.4582,0.583,0.281,0.542,0.773,0.873,0.623,0,0,0.253,9,1,3,37
SHP_00070,2022-07-28,SUP_020,CUS_125,SUP_020->PRT_040->PRT_042->PRT_049->WH_073->CUS_125,6,15681.18,25,28,3,1,2295,210574.56,2,Food,0.6,0.9,0.7,2,2,0.6765,1.794,1.917,0.012871,0.016088,0.2697,0.131,0.437,0.99,0.984,0.837,0.349,0,0,0.068,7,3,3,30
SHP_00071,2023-05-16,SUP_030,CUS_111,SUP_030->PRT_054->PRT_042->PRT_043->WH_063->CUS_111,6,9787.06,21,25,4,1,1408,220437.72,1,Food,0.6,0.9,0.7,2,2,0.671,1.294,2.008,0.014306,0.013979,0.201,0.482,0.819,0.825,0.682,0.718,0.509,0,0,0.158,5,1,2,20
SHP_00072,2022-04-05,SUP_002,CUS_125,SUP_002->PRT_040->PRT_043->WH_070->CUS_125,5,5166.04,13,16,3,1,2666,90407.16,2,Pharmaceuticals,0.8,0.85,0.9,1,1,0.667,1.188,1.205,0.015512,0.015109,0.2521,0.614,0.329,0.748,0.771,0.932,0.402,0,0,0.03,4,1,2,14
SHP_00073,2022-02-15,SUP_017,CUS_083,SUP_017->PRT_050->PRT_045->WH_057->CUS_083,5,14833.72,25,25,0,0,2930,1024684.07,1,Electronics,0.7,0.3,0.6,1,1,0.8531,1.196,1.807,0.021015,0.013405,0.4582,0.735,0.366,0.542,0.773,0.873,0.354,0,1,0.168,2,1,1,7
SHP_00074,2024-02-29,SUP_020,CUS_097,SUP_020->PRT_043->PRT_045->WH_057->CUS_097,5,12061.01,21,21,0,0,1114,20770.56,2,Textiles,0.2,0.1,0.3,1,2,0.7023,1.148,1.729,0.022378,0.01188,0.1817,0.472,0.838,0.99,0.984,0.837,0.534,0,0,0.095,2,3,1,9
SHP_00075,2022-06-15,SUP_016,CUS_087,SUP_016->PRT_050->PRT_045->PRT_046->WH_057->CUS_087,6,15141.25,29,35,6,1,1013,54900.81,3,Raw Materials,0.1,0.05,0.2,2,2,0.8074,2.074,2.011,0.022025,0.013744,0.1928,0.33,0.401,0.99,0.84,0.943,0.406,0,0,0.29,6,2,2,24
SHP_00076,2023-12-24,SUP_035,CUS_099,SUP_035->PRT_044->WH_061->CUS_099,4,9694.66,24,29,5,1,2893,582870.93,2,Pharmaceuticals,0.8,0.85,0.9,0,2,0.7881,0.743,0.825,0.016599,0.018458,0.1009,0.434,0.633,0.962,0.753,0.946,0.899,1,1,0.209,12,6,4,51
